ID	H3_204	H3_207	H3_208	H3_209	H3_210	H3_211	H3_214	H3_215	H3_218	H4_125	H4_126	H4_128	H4_129	H4_131	H4_133	H4_135	H4_136	H4_141	H4_145	H4_148	H4_152	H4_153	H4_154	H4_157	H4_158	H3_198	H3_199	H3_200	H3_201	H3_202	H3_203	H3_205	H3_206	H4_127	H4_159
MAP	1.01103611836831	1.0503226326952	1.27083686148509	1.03516260247102	0.959019231073908	1.05620115080141	1.0642914135077	1.02610343189796	0.916418521904812	1.08136225480481	1.19993707701967	1.26317536523741	1.21848826846769	1.24577568280904	1.22986014189548	1.15454151923424	0.915044274771073	1.13129143180272	0.828158819080724	1.09605525580132	1.1349309856871	1.28912647472848	1.29262604577116	0.99462636823988	1.01962393124486	0.970109080606318	1.05396720600098	1.12815118403281	1.23192258581629	1.14970784814906	1.14840948830253	0.908138206401622	1.0612125528089	1.04479243039319	1.04436254909217
Age	1.25	0.785714285714286	1.5	1.44827586206897	1.20689655172414	1.17241379310345	1.31034482758621	1.31034482758621	1.24137931034483	1.03225806451613	0.967741935483871	1.25806451612903	1.12903225806452	0.838709677419355	0.903225806451613	0.741935483870968	0.838709677419355	0.838709677419355	0.870967741935484	1.2258064516129	1.06451612903226	1.12903225806452	1.12903225806452	1.19354838709677	1	1.57142857142857	1.17857142857143	1.10714285714286	1.25	1.14285714285714	1.03571428571429	1.32142857142857	1.10714285714286	0.967741935483871	1.19354838709677
BMI	1.1972267913607	1.16270506174215	1.09968707222896	1.11089366672165	1.19494701836192	1.17015464308163	1.06222366854937	1.09706672967105	1.03908426688302	1.55320415656821	1.00701262076995	0.980262746078121	1.08531851922605	1.351177711328	1.88105113268848	1.02095347345901	1.19297690017494	0.920591946057905	1.39464724301161	1.40052200532021	0.961085611561829	0.954765721248788	1.80084694876345	1.65416614310031	1.06895542831283	1.03668083923119	1.08506963435192	0.981173218453436	1.38626286955073	1.02625843274404	1.14889728996985	1.23400066040947	1.12762106399531	0.980473718205225	1.11719617579403
chr17:30167900:30169901:+:NSRP1;XM_047436921.1;mRNA:tss_coverage	1.14554799155364	1.02627572113104	1.16176736582421	0.893289838504859	0.924685482385538	1.01746921566277	0.484693703282031	0.96805306032301	0.782694730747725	1.03715092959122	0.796928366189826	0.907541187751206	0.858717379720041	0.77972411955219	0.831925305429535	0.923863078817666	0.893574810527668	0.988937009582649	0.914330078368744	0.937084140544973	0.940968792870126	0.914512533874359	0.909632897099058	0.825795012935058	0.870153433506673	0.777900000743192	0.978578148003037	0.87803483551199	0.959683929630759	0.829314951693938	1.04081334601017	0.932469974633916	0.916842420603938	0.734886174014984	0.691944739347765
chr14:58208032:58210033:+:ACTR10;XM_047431587.1;mRNA:tss_coverage	1.0876583372725	0.90954413296036	1.05160156195524	0.917610571692156	1.00156780427638	1.02533888765096	0.529578837405082	1.02553890567969	0.720649637694337	0.999647531161815	0.851164445997115	0.752088261043733	0.86103074208034	0.84550352668401	0.844974960193663	0.852653529983317	0.901469713591083	0.943516837553038	0.851284687492508	0.953585917125704	0.816037755625726	0.862129881413239	0.885657357949544	0.939557365457534	0.875834653622197	0.787718513449486	1.0446993787813	0.918325691639313	0.873479401404772	0.880661679420373	0.930217468803418	1.00830612443733	0.910580164133446	0.795033531750414	0.77094572440205
chr16:53207450:53209451:+:CHD9,CHD9,CHD9;NM_001352158.3,NM_001382354.1,NM_001382355.1;mRNA,mRNA,mRNA:tss_coverage	1.05969141951441	1.03119018247049	1.11497728811054	0.916591076287332	1.02850729423265	1.01855814057298	0.586385651662601	0.987251718076376	0.701696778513144	0.94523990157188	0.820314326255654	0.838526462869645	0.922230330098977	0.814476149935928	0.972280756463437	0.905879167447127	0.997665223509404	0.912423397275445	0.964680309056423	0.898150567794518	0.868484060681998	0.852729554936053	1.01062186375221	0.902497441696197	0.926916629215453	0.75990628486983	1.00883598266322	0.829798520819537	0.894139633833853	0.836442842644843	0.967932818415423	0.921202961498546	0.885862286989695	0.777172964034569	0.794544000905262
chr9:36399268:36401269:-:RNF38,RNF38,RNF38,RNF38;NM_022781.5,NM_194329.3,XM_047422797.1,XM_047422799.1;mRNA,mRNA,mRNA,mRNA:tss_coverage	0.881666520443556	1.0474814796083	1.03089879450431	1.14955854554584	0.95491683106795	0.972238656444481	0.838402032795229	1.17389339875064	0.972293990662955	1.06156575305698	0.881263185213163	0.804824449346248	0.861187611857328	1.00254079799319	0.999805800211319	1.08303883098683	1.08475171815876	0.880626757580288	0.876651339911969	1.06029570050121	0.746322464479784	1.01607161825864	0.888025915935753	0.890584597633229	0.868101244207682	0.856302940999982	1.06163258639241	1.01327513930433	0.988033124493633	1.05368101483613	0.996758907827904	1.18132532604805	0.918499052766074	1.02640744793573	1.04244384382914
chr8:105492249:105494250:+:ZFPM2;XM_047421627.1;mRNA:tss_coverage	0.998930594964741	0.99884674409329	1.05616112841396	1.00362326506464	0.985906253562671	1.02508917816659	0.677481411172656	0.95355874746267	0.887482841150941	1.02729215630333	0.917927364788059	0.852961292034342	0.954979273116986	0.830567973909379	0.859623047169634	1.03114033168246	0.930081234076428	0.909312570316591	0.939011248799469	0.98909658994583	0.915526870767022	0.996329148648652	0.896625784241965	0.883210893190307	0.88668306574326	0.899901945364815	0.969937701458627	0.90912614781943	0.951371968354939	0.998146977846093	0.99601683014727	0.947814289706601	1.02066489232441	0.845313404522885	0.852270376374687
chr3:97438606:97440607:+:EPHA6,EPHA6,EPHA6,EPHA6,EPHA6;NM_001278300.2,NM_173655.4,XM_017006215.2,XM_017006216.2,XM_017006217.2;mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	1.00250662597244	1.00585253447195	1.07273906077314	1.00525917134673	1.07571835033437	0.998597547273849	0.67559339329571	1.00866214730197	0.765985495044561	1.04230250556768	0.866065220935543	0.806475822586288	1.0044490505032	0.837474041416391	0.951598115488675	0.876147347025164	0.970177693215098	1.04072048702278	0.936405195731909	0.995729522432221	0.982478741182641	0.936506817000153	1.0225703389063	0.89925050903831	0.952981688293815	0.823717787209577	0.989172074596081	0.909125116150253	0.939355949414859	0.798407542089544	0.960734509983865	0.986336711870154	0.926370823188623	0.919851297324016	0.874421527339663
chr2:165139997:165141998:-:SCN3A;XM_011511613.4;mRNA:tss_coverage	1.05514354486664	1.05474952476933	1.09853755893644	1.00657936698498	0.905732455274084	1.08559217188978	0.709511408512791	0.958212116215779	0.875599271009449	1.09163223813114	0.938310835834861	0.787548378521735	1.02823050674413	0.823731570320943	0.902780745919161	0.89134443563288	1.1812021013325	0.979854381629544	0.856001642250944	0.954287402664823	0.892653292516123	0.960632128455076	0.925121584131782	0.93399263799595	0.938786179517759	0.760226728130611	1.03564185814565	0.950804214402494	1.03951040260581	0.936568386698436	1.04719144598707	0.970714360857963	0.963353628559853	0.846968805204087	0.74367772957578
chr7:138459940:138461941:+:TRIM24;XM_024446981.2;mRNA:tss_coverage	0.882355189177863	0.994146453859206	0.84464278254289	0.996614355905329	0.92194113765278	0.987498534830143	1.15746092171069	0.884942980949489	1.01406377168196	1.07146062814115	1.15957592743236	1.02200680994581	0.987748564894547	0.959459391798249	0.859708465444644	1.01468202979797	0.95083955136862	1.11739391472247	0.960136268574035	1.10358474949174	0.938608519513214	1.08510507322681	0.948453711740456	1.12259170613099	0.791491337503007	1.02659469685589	0.892391697007693	1.08266317476881	1.20346400474238	1.15762378613132	0.709828976452654	1.29867630147885	1.07961400406149	1.0655301780836	1.1027644763742
chr20:58388228:58390229:+:VAPB,VAPB;NM_001195677.2,NM_004738.5;mRNA,mRNA:tss_coverage	0.826066142022561	0.908196178768281	0.960067383857251	1.10723924279478	0.870736848173402	0.997856116441042	1.0550237226826	0.954532111484416	1.00300751864835	1.04286136168827	0.941469329354611	0.807028418222721	0.864962021120024	1.00428816801439	0.916872862632197	1.02908016437538	1.04176884545402	0.952371337903716	1.0160485947648	1.03892143094453	0.850388474712922	0.932061994421574	0.895943355743669	0.768949293709897	0.955101150992337	0.993277385019619	1.07863266567034	1.06863098465823	1.06181144490982	1.04218731583721	1.01048758548128	1.02413719889377	0.959182433116647	1.02275119183379	0.994279987788261
