ID	H4_125	H4_126	H4_127	H4_128	H4_129	H4_130	H4_131	H4_132	H4_133	H4_134	H4_135	H4_136	H4_137	H4_138	H4_139	H4_140	H4_141	H4_142	H4_143	H4_144	H4_145	H4_146	H4_147	H4_148	H4_149	H4_150	H4_151	H4_152	H4_153	H4_154	H4_155	H4_156	H4_157	H4_158	H4_159	H4_160
MAP	1.08136225480481	1.19993707701967	1.04479243039319	1.26317536523741	1.21848826846769	1.196713544749	1.24577568280904	1.40379921748206	1.22986014189548	1.16782741547785	1.15454151923424	0.915044274771073	1.17976199220993	1.23800340116726	1.23275335161888	1.20806578361979	1.13129143180272	1.1745622995254	1.11925660333252	1.33212384462182	0.828158819080724	0.964542992980992	1.03266220107542	1.09605525580132	1.27394087734593	1.19156467091789	1.05440227557586	1.1349309856871	1.28912647472848	1.29262604577116	1.15454151923424	1.1168728526147	0.99462636823988	1.01962393124486	1.04436254909217	1.25496696543533
Age	1.03225806451613	0.967741935483871	0.967741935483871	1.25806451612903	1.12903225806452	0.903225806451613	0.838709677419355	1.03225806451613	0.903225806451613	1.03225806451613	0.741935483870968	0.838709677419355	1	1.03225806451613	0.903225806451613	0.774193548387097	0.838709677419355	0.935483870967742	1.03225806451613	1.2258064516129	0.870967741935484	1.16129032258065	1.06451612903226	1.2258064516129	1.06451612903226	1.12903225806452	1.12903225806452	1.06451612903226	1.12903225806452	1.12903225806452	1.06451612903226	0.967741935483871	1.19354838709677	1	1.19354838709677	1.19354838709677
BMI	1.55320415656821	1.00701262076995	0.980473718205225	0.980262746078121	1.08531851922605	1.02642530218859	1.351177711328	1.03964653127047	1.88105113268848	0.977297080748538	1.02095347345901	1.19297690017494	1.32219802353893	1.22099028925438	1.28683167623615	1.09373190218498	0.920591946057905	1.01861469673568	1.31247846809197	1.30387683308117	1.39464724301161	1.06016415022514	1.13957637724227	1.40052200532021	1.02877891651207	1.4101951932667	1.35424074840855	0.961085611561829	0.954765721248788	1.80084694876345	1.33392250970588	1.45966143378512	1.65416614310031	1.06895542831283	1.11719617579403	1.31693531223643
chr17:30167900:30169901:+:NSRP1;XM_047436921.1;mRNA:tss_coverage	1.03995346984687	0.86573742817169	0.840567164156787	0.893743169110973	0.74672166335881	0.883328831744583	0.817423772494882	0.811858875373256	0.91765198589873	0.863772328380111	0.879506464175625	0.986319629633886	0.937953295659952	0.921190634586293	0.649940342848846	0.903695903900068	1.03533471054726	0.798587786363101	0.913673847556306	1.05978163621919	0.89721845973452	1.03593964209428	0.882669062865205	1.06499753239199	0.969408720788141	0.983934223608149	0.930486383471344	1.05537804522311	0.921851435121525	0.958222765167744	0.997001541499912	0.985837171573808	0.927286161009106	0.903982883944673	0.765772440337047	0.867933210610281
chr14:58208032:58210033:+:ACTR10;XM_047431587.1;mRNA:tss_coverage	0.999683757973603	0.834719305879335	0.813178124979479	0.862271291735193	0.964453733308765	1.07667754247511	0.797494384022341	0.98655662512339	0.822656907996084	0.869649860225823	0.902231835506751	0.972890520166206	0.872602237880169	0.965774822341165	0.567917787568236	0.795329874329982	0.968796800436624	0.791262093711641	0.879519280386709	1.12757721265593	0.878140655228597	1.07226870937919	0.801520532558319	1.03837562647444	0.902609929660859	0.872168178221264	0.720503126524897	0.936208029526773	0.857451859569064	0.966912354060213	0.883033113296842	0.867748348643741	1.00685404187767	0.952213551552676	0.881371777932348	0.816980189577848
chr16:53207450:53209451:+:CHD9,CHD9,CHD9;NM_001352158.3,NM_001382354.1,NM_001382355.1;mRNA,mRNA,mRNA:tss_coverage	1.05086608316234	0.891461433592779	0.923046644925093	0.906215849665588	1.03697140956477	0.977413203675878	0.954065325167613	0.940097266429121	1.07061368249491	0.985254883214685	0.862631869054576	0.94614175522353	0.862206004392404	0.970594741827196	0.792736089018874	1.05364904236782	1.08035613552453	0.923823331317805	0.724266038513712	1.1008159872877	1.17798536631347	1.15628623647312	0.758519810514735	1.04358337384819	0.816872026682991	0.827537001697972	0.89505257926359	0.961162385818933	0.794527877801508	0.958088354848441	0.970941691039308	1.03835318281254	0.895964520218418	0.907342091851984	0.965145858787154	0.831346397321654
chr9:36399268:36401269:-:RNF38,RNF38,RNF38,RNF38;NM_022781.5,NM_194329.3,XM_047422797.1,XM_047422799.1;mRNA,mRNA,mRNA,mRNA:tss_coverage	1.00390332810517	0.790226969848815	1.01924749561454	0.606569211107164	0.856767240320283	1.03954407948596	0.976332831593361	1.15010656223694	1.05162130148819	0.957002875798716	1.10218242816922	1.20374938723597	1.08317940511918	0.957161369119736	1.10026653184091	0.964326816889913	0.795883137774061	1.161293217388	0.898690212364686	1.04245568385308	1.04202572101057	1.00223446096081	0.963453233517392	1.06463485965649	0.855641528018389	0.80233249337822	1.00309768790545	0.679840484608201	1.1856024877953	0.82983853708617	1.28857871975387	0.654500195665066	0.897715975852842	0.816328509208325	0.854226241160874	1.00538259215878
chr8:105492249:105494250:+:ZFPM2;XM_047421627.1;mRNA:tss_coverage	1.04561444745486	0.943075733228394	0.979431497604431	0.843717234535066	0.973649536302863	1.03510467625117	0.872986952641441	1.03655614867115	0.843396533954331	0.88079268672969	1.15711891135948	0.953996997077841	0.963016699707336	1.01964581690368	0.890022955662649	0.927536775930254	0.962377288156526	0.999147036065163	1.00698400003193	1.06915011084389	0.933149594897981	1.18362097843141	0.868504372079962	1.17162296756883	0.981860641526128	0.808351230185898	0.84175058150328	0.925401291082978	0.978913357473195	0.876869808598278	1.0539478274485	0.878331642628426	0.943360228828639	0.879951228250816	0.933013441528928	0.890882975475748
chr3:97438606:97440607:+:EPHA6,EPHA6,EPHA6,EPHA6,EPHA6;NM_001278300.2,NM_173655.4,XM_017006215.2,XM_017006216.2,XM_017006217.2;mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	1.01888869072009	0.906963404908591	0.959997823983687	0.881279455391561	1.0383949185385	1.03723040091819	0.745117198956554	1.02069665216223	0.992746345012316	0.942731488098079	0.849947307387025	1.00311085359057	1.02981157146462	1.04475087771211	0.693906146835711	1.02490198097312	1.1144708642328	0.729430175331769	0.820662360524904	1.06338985832973	0.914684476599059	1.03983759762483	0.901938544023029	1.09507473652065	0.788959190952412	0.712345872639415	0.852546740013274	0.976650572384469	0.998741039689141	1.04966745763639	1.08622130449503	0.99283713567245	0.949176154410056	1.05865774063042	0.957820579047987	0.794622284715436
chr2:165139997:165141998:-:SCN3A;XM_011511613.4;mRNA:tss_coverage	1.1391151301519	0.962171363754205	0.736341450314827	0.76936485952426	1.1230277489507	0.958112442940405	0.799530442165623	0.952487498233478	0.939944126243081	0.972413433272068	0.91934585980474	1.09049979687787	0.890547373072827	1.00717946798219	0.792720092810532	0.920412949799407	1.03206448229031	0.897799677826674	0.847157153484292	0.977769391073091	0.906322707467909	0.986836638909314	0.903276419055462	1.01070446895333	0.923443612410421	0.939002848352117	0.961457694573954	0.931583894099518	1.07220938022921	0.946225663733552	0.976026210031932	0.99125554188096	1.03343131491158	0.947084443358693	0.921093992169685	0.83154982591653
